"date","series","yield"
2020-07-31,"2-year",0.26
2020-07-31,"3-year",0.28
2020-07-31,"5-year",0.42
2020-07-31,"10-year",0.88
2020-08-31,"Overnight",0.13
2020-08-31,"1-month",0.09
2020-08-31,"3-month",0.1
2020-08-31,"6-month",0.16
2020-08-31,"1-year",0.126
2020-08-31,"2-year",0.26
2020-08-31,"3-year",0.27
2020-08-31,"5-year",0.43
2020-08-31,"10-year",0.89
2020-09-30,"Overnight",0.13
2020-09-30,"1-month",0.09
2020-09-30,"3-month",0.09
2020-09-30,"6-month",0.13
2020-09-30,"1-year",0.073
2020-09-30,"2-year",0.21
2020-09-30,"3-year",0.23
2020-09-30,"5-year",0.39
2020-09-30,"10-year",0.9
2020-10-31,"Overnight",0.13
2020-10-31,"1-month",0.08
2020-10-31,"3-month",0.07
2020-10-31,"6-month",0.1
2020-10-31,"1-year",0.02
2020-10-31,"2-year",0.13
2020-10-31,"3-year",0.14
2020-10-31,"5-year",0.29
2020-10-31,"10-year",0.82
2020-11-30,"Overnight",0.06
2020-11-30,"1-month",0.02
2020-11-30,"3-month",0.02
2020-11-30,"6-month",0.03
2020-11-30,"1-year",0.048
2020-11-30,"2-year",0.09
2020-11-30,"3-year",0.11
2020-11-30,"5-year",0.29
2020-11-30,"10-year",0.87
2020-12-31,"Overnight",0.04
2020-12-31,"1-month",0.02
2020-12-31,"3-month",0.02
2020-12-31,"6-month",0.02
2020-12-31,"1-year",0.049
2020-12-31,"2-year",0.09
2020-12-31,"3-year",0.11
2020-12-31,"5-year",0.34
2020-12-31,"10-year",0.98
2021-01-31,"Overnight",0.03
2021-01-31,"1-month",0.01
2021-01-31,"3-month",0.01
2021-01-31,"6-month",0.02
2021-01-31,"1-year",0.056
2021-01-31,"2-year",0.08
2021-01-31,"3-year",0.1
2021-01-31,"5-year",0.37
2021-01-31,"10-year",1.05
2021-02-28,"Overnight",0.03
2021-02-28,"1-month",0.01
2021-02-28,"3-month",0.01
2021-02-28,"6-month",0.02
2021-02-28,"1-year",0.038
2021-02-28,"2-year",0.1
2021-02-28,"3-year",0.11
2021-02-28,"5-year",0.48
2021-02-28,"10-year",1.32
2021-03-31,"Overnight",0.03
2021-03-31,"1-month",0.01
2021-03-31,"3-month",0.03
2021-03-31,"6-month",0.08
2021-03-31,"1-year",0.083
2021-03-31,"2-year",0.09
2021-03-31,"3-year",0.1
2021-03-31,"5-year",0.71
2021-03-31,"10-year",1.69
2021-04-30,"Overnight",0.03
2021-04-30,"1-month",0.01
2021-04-30,"3-month",0.04
2021-04-30,"6-month",0.09
2021-04-30,"1-year",0.027
2021-04-30,"2-year",0.07
2021-04-30,"3-year",0.1
2021-04-30,"5-year",0.69
2021-04-30,"10-year",1.65
2021-05-31,"Overnight",0.03
2021-05-31,"1-month",0.01
2021-05-31,"3-month",0.04
2021-05-31,"6-month",0.1
2021-05-31,"1-year",0.007
